"当地时间 北京";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.11.2016 14:00";"7.0";"768.7";"771.7";"2.9";"18";"从东北偏北方向吹来的风";"4";"";"";"无云";" ";"";"";"-1.5";"";"";"";"";"";"";"30.0";"-15.7";"";"";"";"";"";"";
"27.11.2016 11:00";"6.2";"765.8";"772.2";"-1.4";"19";"从北方吹来的风";"4";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"17.0";"-15.7";"";"";"";"";"";"";
"27.11.2016 08:00";"4.6";"767.2";"770.3";"6.0";"26";"从东北偏北方向吹来的风";"3";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"17.0";"-13.3";"";"";"地表潮湿";"";"";"";
"27.11.2016 05:00";"6.5";"761.2";"767.5";"-2.1";"23";"从西北方吹来的风";"4";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"22.0";"-13.1";"";"";"";"";"";"";
"27.11.2016 02:00";"-1.3";"763.3";"766.3";"4.4";"88";"从西北偏北方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"7.8";"";"";"";"";"";"0.6";"-3.0";"";"";"";"";"";"";
"26.11.2016 23:00";"0.9";"758.9";"765.4";"-3.3";"77";"从东南偏东方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"";"";"";"0.8";"-2.8";"";"";"";"";"";"";
"26.11.2016 20:00";"1.5";"762.2";"765.3";"4.0";"73";"从西南方吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"0.9";"-2.8";"";"";"";"";"";"";
"26.11.2016 17:00";"5.7";"758.2";"764.5";"-3.1";"59";"从西南偏南方向吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"1.1";"-1.7";"";"";"";"";"";"";
"26.11.2016 14:00";"7.6";"761.3";"764.4";"1.5";"41";"从西南偏南方向吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"-2.1";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"1.4";"-4.8";"";"";"";"";"";"";
"26.11.2016 11:00";"3.6";"759.8";"766.2";"-3.6";"69";"从西南偏南方向吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"0.7";"-1.7";"";"";"";"";"";"";
"26.11.2016 08:00";"-1.8";"763.4";"766.5";"3.9";"88";"从西南偏西方向吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"0.7";"-3.5";"";"";"地表潮湿";"";"";"";
"26.11.2016 05:00";"-0.3";"759.5";"766.0";"-5.0";"83";"从东方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"0.7";"-2.8";"";"";"";"";"";"";
"26.11.2016 02:00";"-0.1";"764.5";"767.6";"2.8";"82";"从西南方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"5.3";"";"";"";"";"";"0.8";"-2.8";"";"";"";"";"";"";
"25.11.2016 23:00";"1.1";"761.7";"768.2";"-3.9";"74";"从南方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"1.0";"-3.0";"";"";"";"";"";"";
"25.11.2016 20:00";"2.1";"765.6";"768.7";"3.9";"68";"从西南偏南方向吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"1.3";"-3.2";"";"";"";"";"";"";
"25.11.2016 17:00";"3.5";"761.7";"768.1";"-3.4";"57";"从西南方吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"1.5";"-4.4";"";"";"";"";"";"";
"25.11.2016 14:00";"5.0";"765.1";"768.2";"1.4";"37";"从西南方吹来的风";"3";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"-4.9";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"3.0";"-8.5";"";"";"";"";"";"";
"25.11.2016 11:00";"2.6";"763.7";"770.2";"-3.2";"42";"从东方吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"";"-9.0";"";"";"";"";"";"";
"25.11.2016 08:00";"-3.2";"766.9";"770.1";"3.9";"71";"从东北偏东方向吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"2.8";"-7.7";"";"";"";"";"";"";
"25.11.2016 05:00";"-3.7";"763.0";"769.6";"-3.9";"70";"从东北偏东方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"";"";"";"2.1";"-8.4";"";"";"";"";"";"";
"25.11.2016 02:00";"-2.9";"766.9";"769.9";"3.3";"64";"从西南偏南方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"4.4";"";"";"2500或更高，或无云。";"";"";"2.3";"-8.8";"";"";"";"";"";"";
"24.11.2016 23:00";"-0.2";"763.6";"770.1";"-3.6";"50";"从西南偏南方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"2.0";"-9.4";"";"";"";"";"";"";
"24.11.2016 20:00";"-1.1";"767.2";"770.4";"3.9";"52";"从西南偏南方向吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"2.9";"-9.7";"";"";"";"";"";"";
"24.11.2016 17:00";"2.5";"763.3";"769.8";"-4.2";"33";"从西南方吹来的风";"2";"";"";"50%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"50%.";"2500或更高，或无云。";"";"";"";"-12.1";"";"";"";"";"";"";
"24.11.2016 14:00";"4.1";"767.5";"770.6";"0.5";"31";"从南方吹来的风";"3";"";"";"无云";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"-6.0";"";"";"";"";"";"";"";"-11.5";"";"";"";"";"";"";
"24.11.2016 11:00";"1.6";"767.0";"773.5";"-4.2";"35";"从西南偏西方向吹来的风";"2";"";"";"无云";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"";"";"";"";"";"-12.2";"";"";"";"";"";"";
"24.11.2016 08:00";"-3.7";"771.2";"774.4";"4.1";"61";"从西南方吹来的风";"1";"";"";"无云";"霾 ";"";"";"";"";"";"";"";"";"";"3.3";"-10.3";"";"";"";"";"";"";
"24.11.2016 05:00";"-6.0";"767.1";"773.8";"-4.9";"59";"从西南偏西方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"10.0";"-12.9";"";"";"";"";"";"";
"24.11.2016 02:00";"-4.0";"772.0";"775.2";"2.8";"52";"从东北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"2.6";"";"";"";"";"";"7.0";"-12.6";"";"";"";"";"";"";
"23.11.2016 23:00";"-1.1";"769.2";"775.8";"-3.4";"34";"从东北偏东方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"29.0";"-15.0";"";"";"";"";"";"";
"23.11.2016 20:00";"-0.4";"772.6";"775.7";"4.5";"46";"从西北偏西方向吹来的风";"2";"";"";"无云";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"";"";"";"";"3.4";"-10.6";"";"";"";"";"";"";
"23.11.2016 17:00";"1.0";"768.1";"774.6";"-3.7";"37";"从西南偏西方向吹来的风";"1";"";"";"无云";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"";"";"";"";"7.0";"-12.1";"";"";"";"";"";"";
"23.11.2016 14:00";"2.4";"771.8";"775.0";"0.7";"30";"从西南偏西方向吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"-5.3";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"10.0";"-13.4";"";"";"";"";"";"";
"23.11.2016 11:00";"0.1";"771.1";"777.7";"-4.4";"39";"从西南偏西方向吹来的风";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"70 – 80%.";"2500或更高，或无云。";"";"";"10.0";"-12.5";"";"";"";"";"";"";
"23.11.2016 08:00";"-4.6";"775.5";"778.6";"4.5";"49";"从西方吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"13.0";"-13.9";"";"";"";"";"";"";
"23.11.2016 05:00";"-3.9";"771.0";"777.7";"-4.5";"33";"从北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"30.0";"-17.8";"";"";"";"";"";"";
"23.11.2016 02:00";"-3.2";"775.5";"778.6";"2.7";"32";"从西北偏北方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"-0.2";"";"";"";"";"";"30.0";"-17.6";"";"";"";"";"";"";
"22.11.2016 23:00";"-2.7";"772.8";"779.5";"-3.7";"31";"从北方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"30.0";"-17.5";"";"";"";"";"";"";
"22.11.2016 20:00";"-2.2";"776.5";"779.7";"4.7";"31";"从西北方吹来的风";"2";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"23.0";"-17.1";"";"";"";"";"";"";
"22.11.2016 17:00";"-1.1";"771.8";"778.4";"-3.3";"28";"从西北偏北方向吹来的风";"3";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"30.0";"-17.3";"";"";"";"";"";"";
"22.11.2016 14:00";"-0.8";"775.1";"778.3";"0.8";"24";"从北方吹来的风";"5";"";"";"无云";" ";"";"";"-6.6";"";"";"";"";"";"";"30.0";"-18.9";"";"";"";"";"";"";
"22.11.2016 11:00";"-3.4";"774.3";"781.0";"-3.5";"28";"从北方吹来的风";"5";"";"";"10%  或者更少，但不为0";" ";"";"";"";"";"";"10%  或者更少，但不为0";"2500或更高，或无云。";"";"";"30.0";"-19.3";"";"";"";"";"";"";
"22.11.2016 08:00";"-6.0";"777.8";"781.0";"4.2";"30";"从北方吹来的风";"4";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"30.0";"-20.8";"";"";"";"";"";"";
"22.11.2016 05:00";"-5.9";"773.6";"780.4";"-3.0";"28";"从北方吹来的风";"7";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"30.0";"-21.5";"";"";"";"";"";"";
"22.11.2016 02:00";"-5.2";"776.6";"779.8";"4.1";"32";"从西北偏北方向吹来的风";"5";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"0.0";"";"";"2500或更高，或无云。";"";"";"30.0";"-19.3";"";"";"";"";"";"";
"21.11.2016 23:00";"-3.9";"772.5";"779.2";"-2.2";"30";"从北方吹来的风";"7";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"30.0";"-18.9";"";"";"";"";"";"";
"21.11.2016 20:00";"-2.9";"774.7";"777.8";"5.6";"32";"从西北偏北方向吹来的风";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"70 – 80%.";"2500或更高，或无云。";"";"";"30.0";"-17.3";"";"";"";"";"";"";
"21.11.2016 17:00";"-1.9";"769.1";"775.7";"-1.3";"34";"从北方吹来的风";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"70 – 80%.";"1500-2000";"";"";"30.0";"-15.7";"";"";"";"";"";"";
"21.11.2016 14:00";"-0.6";"770.4";"773.5";"3.1";"42";"从北方吹来的风";"6";"";"";"100%.";"云量发展情况没有进行观测或无法观测。 ";"雪和/或其他形式的固体降水";"在整个相应周期内云遮住了一半或以下的天空";"-2.3";"";"";"100%.";"2000-2500";"";"";"30.0";"-12.2";"0.4";"6";"";"";"";"";
"21.11.2016 11:00";"-2.0";"767.3";"773.9";"-2.2";"76";"从东北方吹来的风";"6";"";"";"90  或者更多，但不为100%";"小雪 ";"雪和/或其他形式的固体降水";"雪和/或其他形式的固体降水";"";"";"";"90  或者更多，但不为100%";"1500-2000";"";"";"27.0";"-5.8";"";"";"";"";"";"";
"21.11.2016 08:00";"-2.1";"769.5";"772.6";"5.9";"84";"从东北方吹来的风";"7";"";"";"100%.";"间歇性雪，在观测时较弱 ";"";"";"";"";"";"100%.";"600-1000";"";"";"7.0";"-4.4";"3.0";"6";"地表潮湿";"";"";"";
"21.11.2016 05:00";"-1.3";"763.6";"770.2";"-2.9";"93";"从东北方吹来的风";"5";"";"";"由于雾和/或其他气象现象，天空不可见。";"间歇性雪，在观测时较弱 ";"";"";"";"";"";"";"600-1000";"";"";"1.1";"-2.3";"";"";"";"";"";"";
"21.11.2016 02:00";"0.0";"766.5";"769.6";"3.0";"92";"从东北方吹来的风";"4";"";"";"由于雾和/或其他气象现象，天空不可见。";"雨或毛毛雨夹雪较弱 ";"雪和/或其他形式的固体降水";"雨";"";"6.2";"";"";"600-1000";"";"";"3.0";"-1.1";"4.0";"6";"";"";"";"";
"20.11.2016 23:00";"1.0";"763.5";"770.0";"-3.3";"93";"从东北方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";"雨或毛毛雨夹雪较弱 ";"";"";"";"";"";"";"600-1000";"";"";"2.6";"0.0";"";"";"";"";"";"";
"20.11.2016 20:00";"2.5";"766.8";"769.9";"5.1";"93";"从东北偏东方向吹来的风";"3";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"1000-1500";"";"";"1.0";"1.5";"0.4";"6";"";"";"";"";
"20.11.2016 17:00";"3.6";"761.7";"768.1";"-2.9";"70";"从东北偏东方向吹来的风";"4";"";"";"100%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"1000-1500";"";"";"3.4";"-1.4";"";"";"";"";"";"";
"20.11.2016 14:00";"3.7";"764.6";"767.7";"1.4";"73";"从东北偏东方向吹来的风";"3";"";"";"100%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.5";"";"";"100%.";"1500-2000";"";"";"4.6";"-0.7";"";"";"";"";"";"";
"20.11.2016 11:00";"3.6";"763.2";"769.6";"-3.8";"76";"从东方吹来的风";"2";"";"";"100%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"1000-1500";"";"";"5.0";"-0.2";"";"";"";"";"";"";
"20.11.2016 08:00";"3.9";"767.0";"770.0";"4.5";"75";"从东方吹来的风";"2";"";"";"100%.";"霾 ";"";"";"";"";"";"100%.";"1000-1500";"";"";"7.0";"-0.1";"降水迹象";"12";"干燥（无裂纹、可见灰尘或散沙）";"";"";"";
"20.11.2016 05:00";"5.2";"762.5";"768.9";"-3.7";"80";"从东方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";"阵雨 ";"";"";"";"";"";"";"300-600";"";"";"4.4";"2.0";"";"";"";"";"";"";
"20.11.2016 02:00";"6.2";"766.2";"769.2";"3.8";"81";"从东方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"16.5";"";"";"300-600";"";"";"3.5";"3.2";"";"";"";"";"";"";
"19.11.2016 23:00";"8.0";"762.4";"768.7";"-1.5";"85";"从东方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"300-600";"";"";"2.2";"5.6";"";"";"";"";"";"";
"19.11.2016 20:00";"9.2";"763.9";"766.9";"5.3";"80";"从东南偏南方向吹来的风";"4";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"1.5";"5.9";"";"";"";"";"";"";
"19.11.2016 17:00";"11.8";"758.6";"764.8";"-1.4";"60";"从西方吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"1.6";"4.1";"";"";"";"";"";"";
"19.11.2016 14:00";"15.6";"760.0";"763.0";"2.0";"20";"从东北方吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"5.1";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"16.0";"-7.3";"";"";"";"";"";"";
"19.11.2016 11:00";"12.9";"758.0";"764.2";"-2.0";"28";"从东北方吹来的风";"4";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"17.0";"-5.2";"";"";"";"";"";"";
"19.11.2016 08:00";"8.8";"760.0";"763.0";"5.3";"49";"从北方吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"";"-1.3";"0.2";"12";"干燥（无裂纹、可见灰尘或散沙）";"";"";"";
"19.11.2016 05:00";"5.2";"754.7";"761.0";"-2.9";"96";"无风";"0";"";"";"由于雾和/或其他气象现象，天空不可见。";"有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"0.4";"4.6";"";"";"";"";"";"";
"19.11.2016 02:00";"7.1";"757.6";"760.6";"3.6";"91";"从东南偏南方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ";"阵性";"雨";"";"7.4";"";"";"600-1000";"";"";"0.7";"5.7";"0.2";"6";"";"";"";"";
"18.11.2016 23:00";"7.2";"754.0";"760.3";"-2.9";"96";"从东北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ";"";"";"";"";"";"";"200-300";"";"";"0.3";"6.6";"";"";"";"";"";"";
"18.11.2016 20:00";"6.9";"756.9";"759.9";"3.6";"96";"从东北方吹来的风";"1";"";"";"100%.";"雾或冰雾，天空可见，在观测前一个小时内没有明显的浓度变化。 ";"雾或冰雾或强阴霾";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"50-100";"";"";"0.2";"6.3";"";"";"";"";"";"";
"18.11.2016 17:00";"6.4";"753.3";"759.6";"-3.5";"94";"从北方吹来的风";"1";"";"";"100%.";"雾或冰雾，天空可见，在观测前一个小时内没有明显的浓度变化。 ";"雾或冰雾或强阴霾";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"50-100";"";"";"0.3";"5.5";"";"";"";"";"";"";
"18.11.2016 14:00";"6.9";"756.8";"759.8";"1.8";"84";"从东方吹来的风";"1";"";"";"100%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.1";"";"";"100%.";"200-300";"";"";"0.9";"4.4";"";"";"";"";"";"";
"18.11.2016 11:00";"7.4";"755.0";"761.3";"-4.3";"73";"从东北偏东方向吹来的风";"2";"";"";"100%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"300-600";"";"";"1.3";"2.9";"";"";"";"";"";"";
"18.11.2016 08:00";"6.6";"759.3";"762.3";"2.7";"68";"从东北偏东方向吹来的风";"1";"";"";"100%.";"霾 ";"";"";"";"";"";"100%.";"1500-2000";"";"";"2.0";"1.1";"";"";"";"";"";"";
"18.11.2016 05:00";"6.4";"756.6";"762.9";"-4.6";"67";"从东北偏东方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"300-600";"";"";"2.2";"0.7";"";"";"";"";"";"";
"18.11.2016 02:00";"6.4";"761.2";"764.2";"2.4";"66";"从东方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"6.6";"";"";"300-600";"";"";"2.7";"0.5";"";"";"";"";"";"";
"17.11.2016 23:00";"6.4";"758.8";"765.1";"-3.9";"63";"从东北偏东方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"300-600";"";"";"2.7";"-0.1";"";"";"";"";"";"";
"17.11.2016 20:00";"6.5";"762.7";"765.7";"2.7";"64";"从东方吹来的风";"1";"";"";"100%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"1500-2000";"";"";"3.8";"0.0";"";"";"";"";"";"";
"17.11.2016 17:00";"6.2";"760.0";"766.3";"-4.1";"63";"从东方吹来的风";"1";"";"";"100%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"1500-2000";"";"";"4.5";"-0.5";"";"";"";"";"";"";
"17.11.2016 14:00";"6.1";"764.1";"767.1";"1.3";"69";"无风";"0";"";"";"100%.";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.7";"";"";"100%.";"1500-2000";"";"";"";"0.8";"";"";"";"";"";"";
"17.11.2016 11:00";"5.9";"762.8";"769.2";"-3.5";"57";"从东南偏东方向吹来的风";"2";"";"";"100%.";" ";"";"";"";"";"";"100%.";"600-1000";"";"";"8.0";"-2.0";"";"";"";"";"";"";
"17.11.2016 08:00";"5.4";"766.3";"769.4";"3.8";"64";"从东南偏东方向吹来的风";"2";"";"";"100%.";" ";"";"";"";"";"";"100%.";"1500-2000";"";"";"7.0";"-0.9";"";"";"地表潮湿";"";"";"";
"17.11.2016 05:00";"5.1";"762.5";"768.9";"-3.3";"76";"从东北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"600-1000";"";"";"2.6";"1.2";"";"";"";"";"";"";
"17.11.2016 02:00";"5.4";"765.8";"768.8";"4.5";"80";"从东北偏东方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"11.7";"";"";"600-1000";"";"";"1.5";"2.1";"";"";"";"";"";"";
"16.11.2016 23:00";"4.5";"761.3";"767.7";"-2.6";"81";"从东北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"";"";"";"1.1";"1.5";"";"";"";"";"";"";
"16.11.2016 20:00";"5.1";"763.9";"767.0";"4.9";"70";"从东北偏东方向吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"3.2";"0.1";"";"";"";"";"";"";
"16.11.2016 17:00";"9.4";"759.0";"765.3";"-2.5";"48";"无风";"0";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"";"-1.3";"";"";"";"";"";"";
"16.11.2016 14:00";"11.3";"761.5";"764.5";"2.1";"38";"从东方吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"2.2";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"6.0";"-2.5";"";"";"";"";"";"";
"16.11.2016 11:00";"8.5";"759.4";"765.7";"-3.3";"58";"从东北方吹来的风";"3";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"";"0.7";"";"";"";"";"";"";
"16.11.2016 08:00";"3.4";"762.7";"765.8";"3.8";"85";"从东北方吹来的风";"1";"";"";"40%.";"霾 ";"";"";"";"";"";"40%.";"2500或更高，或无云。";"";"";"3.5";"1.1";"";"";"地表潮湿";"";"";"";
"16.11.2016 05:00";"3.0";"758.9";"765.3";"-4.4";"90";"从东北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"3.0";"1.5";"";"";"";"";"";"";
"16.11.2016 02:00";"3.0";"763.3";"766.3";"2.6";"86";"从东北偏东方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"10.9";"";"";"";"";"";"3.0";"0.9";"";"";"";"";"";"";
"15.11.2016 23:00";"5.4";"760.7";"767.1";"-3.4";"73";"从东南方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"";"0.8";"";"";"";"";"";"";
